HD1654685329370;1;08-06-2022 17:48:49;﻿1;﻿1;4
HD1654685329370;1;08-06-2022 17:48:49;﻿1;8;4
HD1654685329370;2;08-06-2022 17:48:49;﻿1;5;4
HD1654685501203;1;08-06-2022 17:51:41;﻿1;2;KH1654685454747
HD1654685501203;1;08-06-2022 17:51:41;﻿1;6;KH1654685454747
HD1654685501203;2;08-06-2022 17:51:41;﻿1;7;KH1654685454747
HD1654791838691;1;09-06-2022 23:23:58;1;8;3
HD1654791838691;1;09-06-2022 23:23:58;1;1;3
HD1654791838691;1;09-06-2022 23:23:58;1;2;3
HD1654791838691;2;09-06-2022 23:23:58;1;4;3
HD1654791838691;1;09-06-2022 23:23:58;1;8;3
HD1654791838691;1;09-06-2022 23:23:58;1;1;3
HD1654791838691;1;09-06-2022 23:23:58;1;2;3
HD1654791838691;2;09-06-2022 23:23:58;1;4;3
HD1654801428243;1;10-06-2022 02:03:48;2022nv1;2022616112840;KH1654685454747
HD1654802066636;2;10-06-2022 02:14:26;2022nv1;﻿202261611176;KH1654339592622
HD1654802066636;2;10-06-2022 02:14:26;2022nv1;2022616111911;KH1654339592622
HD1654802066636;2;10-06-2022 02:14:26;2022nv1;2022616112413;KH1654339592622
HD1654802066636;5;10-06-2022 02:14:26;2022nv1;2022616112744;KH1654339592622
HD1654802141819;5;10-06-2022 02:15:41;2022nv1;2022616111911;KH1654685454747
HD1654802141819;5;10-06-2022 02:15:41;2022nv1;﻿202261611176;KH1654685454747
HD1654802141819;10;10-06-2022 02:15:41;2022nv1;2022616112744;KH1654685454747
HD1654802141819;10;10-06-2022 02:15:41;2022nv1;2022616112413;KH1654685454747
